AÑO,COEFICIENTE_RESERVAS/PRODUCCION_PETROLEO_CRUDO_(AÑOS),COEFICIENTE_RESERVAS/PRODUCCION_GAS_NATURAL_(AÑOS),COEFICIENTE_RESERVAS/PRODUCCION_HIDROCARBUROS_(AÑOS)
2003,29.47544474,29.71991221,29.5253237
2004,27.85074748,29.36245022,28.1625509
2005,27.37976456,27.66467376,27.44172375
2006,27.84935102,23.89619188,26.89930752
2007,28.42315269,21.42394315,26.50044593
2008,30.63188451,18.15997868,26.60679249
2009,32.57343462,17.38882919,27.38125013
2010,32.42282378,18.83814173,28.12173462
2011,32.7998804,18.9466084,28.6451939
2012,32.82716139,19.51063512,28.85706809
2013,33.47522294,20.5429311,29.31763644
2014,33.08267922,19.63378315,28.74260464
2015,31.21259836,18.41698425,26.94123705
2016,20.76743946,8.773968046,18.0920767
2017,23.73972547,7.935159083,20.7143465
2018,34.67775614,8.188905368,30.2753768
