AÑO,CONDICION_DE_LA_VEGETACION,EXTENSION_DE_SELVA_(HECTAREAS),EXTENSION_DE_BOSQUE_(HECTAREAS),EXTENSION_DE_MATORRAL_(HECTAREAS),EXTENSION_DE_PASTIZAL_(HECTAREAS)
1976,primaria,18721544.32,29396148.1,49910285.94,ND
1976,secundaria,19050753.93,5665999.509,3964536.958,ND
1993,primaria,12916119.13,24705688.41,47347601.51,6383910.164
1993,secundaria,21348370.41,9819594.444,4231095.237,4045527.819
2002,primaria,12090583.39,22068677.9,46661664.91,6341274.849
2002,secundaria,20846712.4,12097768.09,4120799.034,3974543.217
2007,primaria,11514640.5,21162122.58,46176722.97,6122059.037
2007,secundaria,20587347.37,12980340.62,4267913.414,3774365.906
2011,primaria,11218179.03,20679673.15,45456475.16,5885651.319
2011,secundaria,20557380.22,13594428.09,4571644.572,3724847.767
2014,primaria,11140230.55,20634598.15,45363098.1,5878635.516
2014,secundaria,20301189.87,13605668.33,4592770.863,3717504.079

