AÑO,ACTIVIDAD,VOLUMEN_(TONELADAS),SUPERFICIE_SEMBRADA_(MILES_DE_HECTAREAS)
1996,Produccion,4398410,21282707
1996,Importacion,708470,21282707
1996,Exportacion,1458540,21282707
1996,Consumo aparente,3648340,21282707
1997,Produccion,3394410,21967608
1997,Importacion,1014090,21967608
1997,Exportacion,1112170,21967608
1997,Consumo aparente,3296330,21967608
1998,Produccion,3006810,21817666
1998,Importacion,1590220,21817666
1998,Exportacion,1180620,21817666
1998,Consumo aparente,3416410,21817666
1999,Produccion,2345020,21980375
1999,Importacion,1767190,21980375
1999,Exportacion,949110,21980375
1999,Consumo aparente,3163100,21980375
2000,Produccion,1424850,21780047
2000,Importacion,2100450,21780047
2000,Exportacion,616190,21780047
2000,Consumo aparente,2909110,21780047
2001,Produccion,1275870,21607967
2001,Importacion,2164460,21607967
2001,Exportacion,626700,21607967
2001,Consumo aparente,2813630,21607967
2002,Produccion,643690,21664018
2002,Importacion,2265440,21664018
2002,Exportacion,162000,21664018
2002,Consumo aparente,2747130,21664018
2003,Produccion,635260,21754410
2003,Importacion,3113485,21754410
2003,Exportacion,21555,21754410
2003,Consumo aparente,3727190,21754410
2004,Produccion,807730,21874034
2004,Importacion,3108300,21874034
2004,Exportacion,11276,21874034
2004,Consumo aparente,3904754,21874034
2005,Produccion,753110,21640072
2005,Importacion,3105110,21640072
2005,Exportacion,36285,21640072
2005,Consumo aparente,3821936,21640072
2006,Produccion,692160,21436168
2006,Importacion,3115515,21436168
2006,Exportacion,235124,21436168
2006,Consumo aparente,3572551,21436168
2007,Produccion,984690,21733230
2007,Importacion,3269575,21733230
2007,Exportacion,285711,21733230
2007,Consumo aparente,3968555,21733230
2008,Produccion,1426820,21902573
2008,Importacion,2734932,21902573
2008,Exportacion,688120,21902573
2008,Consumo aparente,3473633,21902573
2009,Produccion,1962770,21832754
2009,Importacion,2649300,21832754
2009,Exportacion,791930,21832754
2009,Consumo aparente,3820139,21832754
2010,Produccion,2163000,21952745
2010,Importacion,2806861,21952745
2010,Exportacion,677125,21952745
2010,Consumo aparente,4292736,21952745
2011,Produccion,2062210,22136742
2011,Importacion,3772368,22136742
2011,Exportacion,270262,22136742
2011,Consumo aparente,5564316,22136742
2012,Produccion,2101710,21901600
2012,Importacion,3385362,21901600
2012,Exportacion,1014664,21901600
2012,Consumo aparente,4472408,21901600
2013,Produccion,2124020,22113663
2013,Importacion,3274795,22113663
2013,Exportacion,987584,22113663
2013,Consumo aparente,4411232,22113663
2014,Produccion,1842970,22202784
2014,Importacion,3615396,22202784
2014,Exportacion,926258,22202784
2014,Consumo aparente,4532108,22202784
2015,Produccion,2149700,22148245
2015,Importacion,3655198,22148245
2015,Exportacion,783889,22148245
2015,Consumo aparente,5021008,22148245
2016,Produccion,2069603,21938184
2016,Importacion,4208629,21938184
2016,Exportacion,742419,21938184
2016,Consumo aparente,5535813,21938184
